x Value, Relative Error
0.078,0.43641306793911
0.08,0.432777547899638
0.082,0.429053228249027
0.084,0.425240351902593
0.086,0.421339167773559
0.088,0.417349930773058
0.09,0.413272901810135
0.092,0.409108347791739
0.094,0.404856541622732
0.096,0.400517762205884
0.098,0.396092294441872
0.1,0.391580429229285
0.102,0.386982463464619
0.104,0.38229870004228
0.106,0.377529447854582
0.108,0.372675021791749
0.11,0.367735742741915
0.112,0.36271193759112
0.114,0.357603939223316
0.116,0.352412086520362
0.118,0.347136724362027
0.12,0.341778203625989
0.122,0.336336881187836
0.124,0.330813119921062
0.126,0.325207288697073
0.128,0.319519762385183
0.13,0.313750921852614
0.132,0.3079011539645
0.134,0.301970851583879
0.136,0.295960413571704
0.138,0.289870244786833
0.14,0.283700756086034
0.142,0.277452364323983
0.144,0.271125492353268
0.146,0.264720569024384
0.148,0.258238029185734
0.15,0.251678313683632
0.152,0.2450418693623
0.154,0.238329149063869
0.156,0.23154061162838
0.158,0.224676721893782
0.16,0.217737950695932
0.162,0.2107247748686
0.164,0.20363767724346
0.166,0.196477146650099
0.168,0.189243677916011
0.17,0.181937771866599
0.172,0.174559935325175
0.174,0.167110681112962
0.176,0.15959052804909
0.178,0.152000000950597
0.18,0.144339630632434
0.182,0.136609953907457
0.184,0.128811513586433
0.186,0.120944858478037
0.188,0.113010543388855
0.19,0.10500912912338
0.192,0.0969411824840142
0.194,0.0888072762710701
0.196,0.080607989282768
0.198,0.072343906315238
0.2,0.0640156181625187
0.202,0.0556237216165578
0.204,0.0471688194672125
0.206,0.0386515205022482
0.208,0.0300724395073399
0.21,0.0214321972660722
0.212,0.0127314205599373
0.214,0.00397074216833719
0.216,-0.00484919913141717
0.218,-0.0137277585641055
0.22,-0.0226642853565987
0.222,-0.0316581227378591
0.224,-0.0407086079389395
0.226,-0.0498150721929835
0.228,-0.058976840735226
0.23,-0.0681932328029932
0.232,-0.0774635616357021
0.234,-0.08678713447486
0.236,-0.0961632525640659
0.238,-0.105591211149009
0.24,-0.115070299477471
0.242,-0.124599800799324
0.244,-0.134178992366529
0.246,-0.143807145433141
0.248,-0.153483525255303
0.25,-0.163207391091253
0.252,-0.172977996201316
0.254,-0.18279458784791
0.256,-0.192656407295544
0.258,-0.202562689810817
0.26,-0.212512664662419
0.262,-0.222505555121132
0.264,-0.232540578459829
0.266,-0.242616945953473
0.268,-0.252733862879119
0.27,-0.262890528515911
0.272,-0.273086136145086
0.274,-0.283319873049971
0.276,-0.293590920515986
0.278,-0.303898453830638
0.28,-0.314241642283529
0.282,-0.324619649166349
0.284,-0.335031631772881
0.286,-0.345476741398999
0.288,-0.355954123342665
0.29,-0.366462916903936
